#SECTION:PAISES
codigo,nombre
101,BURKINA FASO
102,ARGELIA
103,BOTSWANA
104,BURUNDI
105,CAMERUN
107,REP. CENTROAFRICANA.
108,CONGO
109,REP.DEMOCRAT.DEL CONGO EX ZAIRE
110,COSTA DE MARFIL
111,CHAD
112,BENIN
113,EGIPTO
115,GABON
116,GAMBIA
117,GHANA
118,GUINEA
119,GUINEA ECUATORIAL
120,KENYA
121,LESOTHO
122,LIBERIA
123,LIBIA
124,MADAGASCAR
125,MALAWI
126,MALI
127,MARRUECOS
128,"MAURICIO,ISLAS"
129,MAURITANIA
130,NIGER
131,NIGERIA
132,ZIMBABWE
133,RWANDA
134,SENEGAL
135,SIERRA LEONA
136,SOMALIA
137,SWAZILANDIA
138,SUDAN
139,TANZANIA
140,TOGO
141,TUNEZ
142,UGANDA
143,REPUBLICA DE SUDAFRICA
144,ZAMBIA
145,TERRIT.VINCULADOS AL R UNIDO
146,TERRIT.VINCULADOS A ESPAÑA
147,TERRIT.VINCULADOS A FRANCIA
148,TERRIT.VINCULADOS A PORTUGAL
149,ANGOLA
150,CABO VERDE
151,MOZAMBIQUE
152,SEYCHELLES
153,DJIBOUTI
155,COMORAS
156,GUINEA BISSAU
157,STO.TOME Y PRINCIPE
158,NAMIBIA
159,SUDAFRICA
160,ERITREA
161,ETIOPIA
197,RESTO (AFRICA)
198,INDETERMINADO (AFRICA)
200,ARGENTINA
201,BARBADOS
202,BOLIVIA
203,BRASIL
204,CANADA
205,COLOMBIA
206,COSTA RICA
207,CUBA
208,CHILE
209,"DOMINICANA,REP."
210,ECUADOR
211,EL SALVADOR
212,ESTADOS UNIDOS
213,GUATEMALA
214,GUYANA
215,HAITI
216,HONDURAS
217,JAMAICA
218,MEXICO
219,NICARAGUA
220,PANAMA
221,PARAGUAY
222,PERU
223,PUERTO RICO
224,TRINIDAD Y -TOBAGO
225,URUGUAY
226,VENEZUELA
227,TERRIT.VINCULADO AL R.UNIDO
228,TER.VINCULADOS A DINAMARCA
229,TERRIT.VINCULADOS A FRANCIA AMERIC.
230,TERRIT. HOLANDESES
231,TER.VINCULADOS A ESTADOS UNIDOS
232,SURINAME
233,DOMINICA
234,SANTA LUCIA
235,SAN VICENTE Y LAS GRANADINS
236,BELICE
237,ANTIGUA Y BARBUDA
238,S.CRISTOBAL Y NEVIS
239,BAHAMAS
240,GRANADA
241,ANTILLAS HOLANDESAS
242,ARUBA
250,TIERRA DEL FUEGO
251,ZF LA PLATA
252,ZF JUSTO DARACT
253,ZF RIO GALLEGOS
254,ISLAS MALVINAS
255,ZF TUCUMAN
256,ZF CORDOBA
257,ZF MENDOZA
258,ZF GENERAL PICO
259,ZF COMODORO RIVADAVIA
260,ZF IQUIQUE
261,ZF PUNTA ARENAS
262,ZF SALTA
263,ZF PASO DE LOS LIBRES
264,ZF PUERTO IGUAZU
265,SECTOR ANTARTICO ARG.
270,ZF COLON
271,ZF WINNER (STA. C.DE LA SIERRA
280,ZF COLONIA
281,ZF FLORIDA
282,ZF LIBERTAD
283,ZF ZONAMERICA
284,ZF NUEVA HELVECIA
285,ZF NUEVA PALMIRA
286,ZF RIO NEGRO
287,ZF RIVERA
288,ZF SAN JOSE
291,ZF MANAOS
295,MAR ARG ZONA ECO.EX
296,RIOS ARG NAVEG INTER
297,RESTO AMERICA
298,INDETERMINADO.(AMERICA)
301,AFGANISTAN
302,ARABIA SAUDITA
303,BAHREIN
304,MYANMAR(EX-BIRMANIA)
305,BUTAN
306,CAMBODYA(EX-KAMPUCHE
307,SRI LANKA
308,COREA DEMOCRATICA
309,COREA REPUBLICANA
310,CHINA
311,CHIPRE
312,FILIPINAS
313,TAIWAN
314,GAZA
315,INDIA
316,INDONESIA
317,IRAK
318,IRAN
319,ISRAEL
320,JAPON
321,JORDANIA
322,QATAR
323,KUWAIT
324,LAOS
325,LIBANO
326,MALASIA
327,MALDIVAS ISLAS
328,OMAN
329,MONGOLIA
330,NEPAL
331,"EMIRATOS ARABES,UNID"
332,PAKISTAN
333,SINGAPUR
334,SIRIA
335,THAILANDIA
336,TURQUIA
337,VIETNAM
341,HONG KONG
344,MACAO
345,BANGLADESH
346,BRUNEI
348,REPUBLICA DE YEMEN
349,ARMENIA
350,AZERBAIJAN
351,GEORGIA
352,KAZAJSTAN
353,KIRGUIZISTAN
354,TAYIKISTAN
355,TURKMENISTAN
356,UZBEKISTAN
357,TERR. AU. PALESTINOS
358,TIMOR ORIENTAL
397,RESTO DE ASIA
398,INDET.(ASIA)
401,ALBANIA
402,ALEMANIA FEDERAL
403,ALEMANIA ORIENTAL
404,ANDORRA
405,AUSTRIA
406,BELGICA
407,BULGARIA
408,CHECOSLOVAQUIA
409,DINAMARCA
410,ESPAÑA
411,FINLANDIA
412,FRANCIA
413,GRECIA
414,HUNGRIA
415,IRLANDA
416,ISLANDIA
417,ITALIA
418,LIECHTENSTEIN
419,LUXEMBURGO
420,MALTA
421,MONACO
422,NORUEGA
423,PAISES BAJOS
424,POLONIA
425,PORTUGAL
426,REINO UNIDO
427,RUMANIA
